Наименование	Раздел	Родитель	Опция	ОтборПоЗначению	ТипЗначенияПараметра	РазрешеноКопирование	ПроверкаЗаполнения	Автоиспользование	БезПробелов	Кавычки	КавычкиДляЗначения	Описание
Файл со списком файлов	e9d593bf-dd41-11e8-83dc-485ab6090f00	e9d593b9-dd41-11e8-83dc-485ab6090f00		 e9d593bb-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Все файлы (*.txt)|*.txt	Нет	Да	Да	Нет	Нет	Нет	
Формат загрузки	e9d593c1-dd41-11e8-83dc-485ab6090f00	e9d593b4-dd41-11e8-83dc-485ab6090f00	-format		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Обновить файл версий	e9d593c4-dd41-11e8-83dc-485ab6090f00	e9d593b4-dd41-11e8-83dc-485ab6090f00	-updateConfigDumpInfo			Нет	Нет	Нет	Нет	Нет	Нет	
Объединение текущей конфигурации с файлом	e9d593c5-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/MergeCfg		Файл;Открытие;Файл конфигурации (*.cf)|*.cf	Нет	Да	Нет	Нет	Нет	Нет	
Файл настроек объединения	e9d593c6-dd41-11e8-83dc-485ab6090f00	e9d593c5-dd41-11e8-83dc-485ab6090f00	-Settings		Файл;Открытие;Файл настроек объединения (*.xml)|*.xml	Нет	Да	Да	Нет	Нет	Нет	
Выбор режима поддержки	e9d593c8-dd41-11e8-83dc-485ab6090f00	e9d593c5-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Ссылки на объекты, не включенные в список объединяемых	e9d593cb-dd41-11e8-83dc-485ab6090f00	e9d593c5-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Объединять несмотря на предупреждения	e9d593ce-dd41-11e8-83dc-485ab6090f00	e9d593c5-dd41-11e8-83dc-485ab6090f00	-force			Нет	Нет	Нет	Нет	Нет	Нет	
Возврат к конфигурации (расширению) базы данных	e9d593cf-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/RollbackCfg			Нет	Нет	Нет	Нет	Нет	Нет	
Имя расширения	e9d593d0-dd41-11e8-83dc-485ab6090f00	e9d593cf-dd41-11e8-83dc-485ab6090f00	-Extension		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Обновление конфигурации базы данных	e9d593d1-dd41-11e8-83dc-485ab6090f00	e9d59356-dd41-11e8-83dc-485ab6090f00	/UpdateDBCfg		Перечисление	Нет	Нет	Нет	Нет	Нет	Нет	
Фоновое обновление конфигурации	e9d593d4-dd41-11e8-83dc-485ab6090f00	e9d593d1-dd41-11e8-83dc-485ab6090f00	-BackgroundStart		Перечисление	Нет	Нет	Нет	Нет	Нет	Нет	
Отмена запущенного фонового обновления	e9d593d7-dd41-11e8-83dc-485ab6090f00	e9d593d1-dd41-11e8-83dc-485ab6090f00	-BackgroundCancel			Нет	Нет	Нет	Нет	Нет	Нет	
Завершение запущенного фонового обновления	e9d593d8-dd41-11e8-83dc-485ab6090f00	e9d593d1-dd41-11e8-83dc-485ab6090f00	-BackgroundFinish			Нет	Нет	Нет	Нет	Нет	Нет	
Выводить диалоговое окно завершения фонового обновления	e9d593d9-dd41-11e8-83dc-485ab6090f00	e9d593d8-dd41-11e8-83dc-485ab6090f00	-Visible			Нет	Нет	Нет	Нет	Нет	Нет	
Продолжение фонового обновления, приостановленного ранее	e9d593da-dd41-11e8-83dc-485ab6090f00	e9d593d1-dd41-11e8-83dc-485ab6090f00	-BackgroundResume			Нет	Нет	Нет	Нет	Нет	Нет	
Приостановка фонового обновления	e9d593db-dd41-11e8-83dc-485ab6090f00	e9d593d1-dd41-11e8-83dc-485ab6090f00	-BackgroundSuspend			Нет	Нет	Нет	Нет	Нет	Нет	
Трактовать все предупреждения как ошибки	e9d593dc-dd41-11e8-83dc-485ab6090f00	e9d593d1-dd41-11e8-83dc-485ab6090f00	-WarningsAsErrors			Нет	Нет	Нет	Нет	Нет	Нет	
Выполнять на сервере	e9d593dd-dd41-11e8-83dc-485ab6090f00	e9d593d1-dd41-11e8-83dc-485ab6090f00	-Server			Нет	Нет	Нет	Нет	Нет	Нет	
Обновлять расширение	e9d593de-dd41-11e8-83dc-485ab6090f00	e9d593d1-dd41-11e8-83dc-485ab6090f00	-Extension		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Внешние обработки и отчеты	e9d593df-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Выгрузка внешних обработок или отчетов в файлы	e9d593e0-dd41-11e8-83dc-485ab6090f00	e9d593df-dd41-11e8-83dc-485ab6090f00	/DumpExternalDataProcessorOrReportToFiles		Файл;Сохранение;Файл XML (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Да	"/DumpExternalDataProcessorOrReportToFiles <путь к корневому файлу выгрузки> <путь к файлу внешней обработки или отчета> [-Format Plain|Hierarchical]
— выгрузка внешних обработок или отчетов в файлы. Доступны следующие параметры:

<путь к корневому файлу выгрузки> —  содержит путь к корневому файлу выгрузки, в который будут сохранены файлы в формате XML внешней обработки или отчета.

 <путь к файлу внешней обработки или отчета> — содержит путь к файлу внешней обработки (.epf) или отчета (.erf).

Format — указывает формат выгрузки файлов. По умолчанию выгрузка производится в иерархическом формате:
               Hierarchical — выгрузка выполняется в иерархическом формате. В указанном каталоге создается структура каталогов, соответствующая структуре объектов конфигурации.
               Plain — выгрузка выполняется в линейном формате. Все файлы будут выгружены в один каталог.

Дополнительно можно указать адрес строки подключения к информационной базе, например, с помощью ключа /IBName. При этом, если во внешней обработке есть внешние ссылки, они будут разрешаться относительно указанной информационной базы. Если информационная база не указана, внешние ссылки разрешаться не будут."
Путь к файлу внешней обработки или отчета	e9d593e2-dd41-11e8-83dc-485ab6090f00	e9d593e0-dd41-11e8-83dc-485ab6090f00			Файл;Открытие;Файл внешней обработки (*.epf)|*.epf|Файл внешнего отчета (*.erf)|*.erf	Нет	Да	Да	Нет	Нет	Да	
Формат выгрузки	e9d593e4-dd41-11e8-83dc-485ab6090f00	e9d593e0-dd41-11e8-83dc-485ab6090f00	-Format		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Загрузка внешних обработок или отчетов из файлов	e9d593e7-dd41-11e8-83dc-485ab6090f00	e9d593df-dd41-11e8-83dc-485ab6090f00	/LoadExternalDataProcessorOrReportFromFiles		Файл;Открытие;Файл XML (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Нет	
Путь к файлу внешней обработки или отчета	e9d593e9-dd41-11e8-83dc-485ab6090f00	e9d593e7-dd41-11e8-83dc-485ab6090f00			Файл;Сохранение;Файл внешней обработки (*.epf)|*.epf|Файл внешнего отчета (*.erf)|*.erf	Нет	Да	Да	Нет	Нет	Нет	
Проверки конфигурации и расширений	e9d593ee-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Централизованная проверка конфигурации	e9d593ef-dd41-11e8-83dc-485ab6090f00	e9d593ee-dd41-11e8-83dc-485ab6090f00	/CheckConfig			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка логической целостности конфигурации	e9d593f0-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-ConfigLogIntegrity			Нет	Нет	Нет	Нет	Нет	Нет	
Поиск некорректных ссылок	e9d593f1-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-IncorrectReferences			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (тонкий клиент)	e9d593f2-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-ThinClient			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (веб-клиент)	e9d593f3-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-WebClient			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (сервер)	e9d593f4-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-Server			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (внешнее соединение, файловый вариант)	e9d593f5-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-ExternalConnection			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (внешнее соединение, клиент-серверный вариант)	e9d593f6-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-ExternalConnectionServer			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (мобильное приложение, клиент)	e9d593f7-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-MobileAppClient			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (мобильное приложение, сервер)	e9d593f8-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-MobileAppServer			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (толстый клиент, управляемое приложение, файловый вариант)	e9d593f9-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-ThickClientManagedApplication			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (толстый клиент, управляемое приложение, клиент-серверный вариант)	e9d593fa-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-ThickClientServerManagedApplication			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (толстый клиент, обычное приложение, файловый вариант)	e9d593fb-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-ThickClientOrdinaryApplication			Нет	Нет	Нет	Нет	Нет	Нет	
Синтаксический контроль (толстый клиент, обычное приложение, клиент-серверный вариант)	e9d593fc-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-ThickClientServerOrdinaryApplication			Нет	Нет	Нет	Нет	Нет	Нет	
Поставка модулей без исходных текстов	e9d593fd-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-DistributiveModules			Нет	Нет	Нет	Нет	Нет	Нет	
Поиск неиспользуемых процедур и функций	e9d593fe-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-UnreferenceProcedures			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка существования назначенных обработчиков	e9d593ff-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-HandlersExistence			Нет	Нет	Нет	Нет	Нет	Нет	
Поиск пустых обработчиков	e9d59400-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-EmptyHandlers			Нет	Нет	Нет	Нет	Нет	Нет	
Расширенная проверка модулей	e9d59401-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-ExtendedModulesCheck			Нет	Нет	Нет	Нет	Нет	Нет	
Режим поиска использования в модулях синхронных методов	e9d59402-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-CheckUseSynchronousCalls			Нет	Нет	Нет	Нет	Нет	Нет	
Режим поиска использования в модулях методов, связанных с модальностью	e9d59403-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-CheckUseModality			Нет	Нет	Нет	Нет	Нет	Нет	
Поиск функциональности, невыполнимая на мобильном приложении	e9d59404-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00	-UnsupportedFunctional			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка расширений конфигурации	e9d59405-dd41-11e8-83dc-485ab6090f00	e9d593ef-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Нет	Нет	Нет	Нет	Нет	
Имя расширения	e9d59408-dd41-11e8-83dc-485ab6090f00	e9d59405-dd41-11e8-83dc-485ab6090f00		 e9d59407-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Нет	Нет	Нет	
Проверка модулей	e9d59409-dd41-11e8-83dc-485ab6090f00	e9d593ee-dd41-11e8-83dc-485ab6090f00	/CheckModules			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка в режиме работы тонкого клиента	e9d5940a-dd41-11e8-83dc-485ab6090f00	e9d59409-dd41-11e8-83dc-485ab6090f00	-ThinClient			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка в режиме работы веб-клиента	e9d5940b-dd41-11e8-83dc-485ab6090f00	e9d59409-dd41-11e8-83dc-485ab6090f00	-WebClient			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка в режиме работы сервера 1С:Предприятия	e9d5940c-dd41-11e8-83dc-485ab6090f00	e9d59409-dd41-11e8-83dc-485ab6090f00	-Server			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка в режиме работы внешнего соединения	e9d5940d-dd41-11e8-83dc-485ab6090f00	e9d59409-dd41-11e8-83dc-485ab6090f00	-ExternalConnection			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка в режиме работы клиентского приложения	e9d5940e-dd41-11e8-83dc-485ab6090f00	e9d59409-dd41-11e8-83dc-485ab6090f00	-ThickClientOrdinaryApplication			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка в режиме работы клиента мобильного приложения	e9d5940f-dd41-11e8-83dc-485ab6090f00	e9d59409-dd41-11e8-83dc-485ab6090f00	-MobileAppClient			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка в режиме работы сервера мобильного приложения	e9d59410-dd41-11e8-83dc-485ab6090f00	e9d59409-dd41-11e8-83dc-485ab6090f00	-MobileAppServer			Нет	Нет	Нет	Нет	Нет	Нет	
Расширенная проверка моулей	e9d59411-dd41-11e8-83dc-485ab6090f00	e9d59409-dd41-11e8-83dc-485ab6090f00	-ExtendedModulesCheck			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка расширений конфигурации	e9d59412-dd41-11e8-83dc-485ab6090f00	e9d59409-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Тестирование и исправление информационной базы	e9d59415-dd41-11e8-83dc-485ab6090f00	e9d593ee-dd41-11e8-83dc-485ab6090f00	/IBCheckAndRepair			Нет	Нет	Нет	Нет	Нет	Нет	
Реиндексация таблиц	e9d59416-dd41-11e8-83dc-485ab6090f00	e9d59415-dd41-11e8-83dc-485ab6090f00	-ReIndex			Нет	Нет	Нет	Нет	Нет	Нет	
Проверка целостности	e9d59417-dd41-11e8-83dc-485ab6090f00	e9d59415-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Пересчет итогов	e9d5941a-dd41-11e8-83dc-485ab6090f00	e9d59415-dd41-11e8-83dc-485ab6090f00	-RecalcTotals			Нет	Нет	Нет	Нет	Нет	Нет	
Сжатие таблиц	e9d5941b-dd41-11e8-83dc-485ab6090f00	e9d59415-dd41-11e8-83dc-485ab6090f00	-IBCompression			Нет	Нет	Нет	Нет	Нет	Нет	
Реструктуризация таблиц информационной базы	e9d5941c-dd41-11e8-83dc-485ab6090f00	e9d59415-dd41-11e8-83dc-485ab6090f00	-Rebuild			Нет	Нет	Нет	Нет	Нет	Нет	
Режим тестирования и исправления	e9d5941d-dd41-11e8-83dc-485ab6090f00	e9d59415-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Нет	Нет	Нет	Нет	Нет	
При наличии ссылок на несуществующие объекты	e9d59420-dd41-11e8-83dc-485ab6090f00	e9d5941d-dd41-11e8-83dc-485ab6090f00		 e9d5941e-dd41-11e8-83dc-485ab6090f00	Перечисление	Нет	Да	Да	Нет	Нет	Нет	
При частичной потере объектов	e9d59424-dd41-11e8-83dc-485ab6090f00	e9d5941d-dd41-11e8-83dc-485ab6090f00		 e9d5941e-dd41-11e8-83dc-485ab6090f00	Перечисление	Нет	Да	Да	Нет	Нет	Нет	
Продолжить тестирование с сохраненной точки возврата	e9d59427-dd41-11e8-83dc-485ab6090f00	e9d59415-dd41-11e8-83dc-485ab6090f00	-UseStartPoint			Нет	Нет	Нет	Нет	Нет	Нет	
Ограничение максимального времени сеанса тестирования	e9d59428-dd41-11e8-83dc-485ab6090f00	e9d59415-dd41-11e8-83dc-485ab6090f00	/TimeLimit			Нет	Нет	Нет	Нет	Нет	Нет	
Часы	e9d59429-dd41-11e8-83dc-485ab6090f00	e9d59428-dd41-11e8-83dc-485ab6090f00	:		Число(3)	Нет	Нет	Да	Нет	Нет	Нет	
Минуты	e9d5942b-dd41-11e8-83dc-485ab6090f00	e9d59428-dd41-11e8-83dc-485ab6090f00	:		Дата|ДФ=мм	Нет	Нет	Да	Нет	Нет	Нет	
Поддержка конфигурации	e9d5942d-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Управление настройками поддержки конфигурации	e9d5942e-dd41-11e8-83dc-485ab6090f00	e9d5942d-dd41-11e8-83dc-485ab6090f00	/ManageCfgSupport			Нет	Нет	Нет	Нет	Нет	Нет	
Снятие конфигурации с поддержки	e9d5942f-dd41-11e8-83dc-485ab6090f00	e9d5942e-dd41-11e8-83dc-485ab6090f00	-disableSupport			Нет	Нет	Нет	Нет	Нет	Нет	
Снятие с поддержки даже если изменения запрещены	e9d59430-dd41-11e8-83dc-485ab6090f00	e9d5942e-dd41-11e8-83dc-485ab6090f00	-force			Нет	Нет	Нет	Нет	Нет	Нет	
Обновление конфигурации, находящейся на поддержке	e9d59431-dd41-11e8-83dc-485ab6090f00	e9d5942d-dd41-11e8-83dc-485ab6090f00	/UpdateCfg		Файл;Открытие;Файл конфигурации (*.cf)|*.cf|Файл обновления конфигурации (*.cfu)|*.cfu	Нет	Да	Нет	Нет	Нет	Нет	
Файл настроек объединения	e9d59433-dd41-11e8-83dc-485ab6090f00	e9d59431-dd41-11e8-83dc-485ab6090f00	-Settings		Файл;Открытие;Файл настроек объединения (*.xml)|*.xml	Нет	Да	Да	Нет	Нет	Нет	
Ссылки на объекты, не включенные в список объединяемых	e9d59434-dd41-11e8-83dc-485ab6090f00	e9d59431-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Обновлять несмотря на наличие предупреждений	e9d59437-dd41-11e8-83dc-485ab6090f00	e9d59431-dd41-11e8-83dc-485ab6090f00	-force			Нет	Нет	Нет	Нет	Нет	Нет	
Вывести список всех дважды изменных свойств	e9d59438-dd41-11e8-83dc-485ab6090f00	e9d59431-dd41-11e8-83dc-485ab6090f00	-DumpListOfTwiceChangedProperties			Нет	Нет	Нет	Нет	Нет	Нет	
Сокращение журнала регистрации	e9d59439-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00	/ReduceEventLogSize		Дата|ДФ=мм	Нет	Да	Нет	Нет	Нет	Нет	
Записывать удаляемые события в файл	e9d5943a-dd41-11e8-83dc-485ab6090f00	e9d59439-dd41-11e8-83dc-485ab6090f00	-saveAs		Файл;Сохранение;Журнал регистрации (*.lgd)|*.lgd	Нет	Да	Нет	Нет	Нет	Нет	
Сохранить разделение на файлы по периодам	e9d5943c-dd41-11e8-83dc-485ab6090f00	e9d59439-dd41-11e8-83dc-485ab6090f00	-KeepSplitting			Нет	Нет	Нет	Нет	Нет	Нет	
Удаление данных	e9d5943d-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00	/EraseData			Нет	Нет	Нет	Нет	Нет	Нет	
Разделители областей данных	e9d5943e-dd41-11e8-83dc-485ab6090f00	e9d5943d-dd41-11e8-83dc-485ab6090f00	/Z		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Установка режима обновления предопределенных данных	e9d5943f-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00	/SetPredefinedDataUpdate		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Отмена главного узла в распределенной информационной базе	e9d59443-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00	/ResetMasterNode			Нет	Нет	Нет	Нет	Нет	Нет	
Восстановление структуры информационной базы	e9d59444-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00	/IBRestoreIntegrity			Нет	Нет	Нет	Нет	Нет	Нет	
Файлы поставки и обновления	e9d59445-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Создание файлов поставки и обновления	e9d59446-dd41-11e8-83dc-485ab6090f00	e9d59445-dd41-11e8-83dc-485ab6090f00	/CreateDistributionFiles			Нет	Нет	Нет	Нет	Нет	Нет	
Создать дистрибутив	e9d59447-dd41-11e8-83dc-485ab6090f00	e9d59446-dd41-11e8-83dc-485ab6090f00	-cffile		Файл;Сохранение;Файл конфигурации (*.cf)|*.cf|Файл расширения конфигурации (*.cfe)|*.cfe	Нет	Да	Нет	Нет	Нет	Нет	
Создать обновление	e9d59448-dd41-11e8-83dc-485ab6090f00	e9d59446-dd41-11e8-83dc-485ab6090f00	-cfufile		Файл;Сохранение;Файл обновления конфигурации (*.cfu)|*.cfu	Нет	Да	Нет	Нет	Нет	Нет	
Дистрибутив, включаемый в обновление, задан именем	e9d5944a-dd41-11e8-83dc-485ab6090f00	e9d59446-dd41-11e8-83dc-485ab6090f00	-f		Файл;Открытие;Файл конфигурации (*.cf)|*.cf	Да	Да	Нет	Нет	Нет	Нет	
Дистрибутив, включаемый в обновление, задан версией	e9d5944b-dd41-11e8-83dc-485ab6090f00	e9d59446-dd41-11e8-83dc-485ab6090f00	-v		Строка	Да	Да	Нет	Нет	Нет	Нет	
Имя файла с параметрами лицензирования	e9d5944c-dd41-11e8-83dc-485ab6090f00	e9d59446-dd41-11e8-83dc-485ab6090f00	-digisign		Файл;Открытие;Все файлы (*.*)|*.*	Нет	Да	Нет	Нет	Нет	Нет	
Создание комплектов поставки	e9d5944d-dd41-11e8-83dc-485ab6090f00	e9d59445-dd41-11e8-83dc-485ab6090f00	/CreateDistributive		Каталог	Нет	Да	Нет	Нет	Нет	Нет	
Имя файла описания комплекта поставки	e9d5944e-dd41-11e8-83dc-485ab6090f00	e9d5944d-dd41-11e8-83dc-485ab6090f00	-File		Файл;Открытие;Описание комплектов поставки (*.edf)|*.edf	Нет	Да	Да	Нет	Нет	Нет	
Вариант поставки	e9d59450-dd41-11e8-83dc-485ab6090f00	e9d5944d-dd41-11e8-83dc-485ab6090f00	-Option		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Создавать комплект поставки	e9d59452-dd41-11e8-83dc-485ab6090f00	e9d5944d-dd41-11e8-83dc-485ab6090f00	-MakeSetup			Нет	Нет	Нет	Нет	Нет	Нет	
Создавать файлы комплекта поставки	e9d59453-dd41-11e8-83dc-485ab6090f00	e9d5944d-dd41-11e8-83dc-485ab6090f00	-MakeFiles			Нет	Нет	Нет	Нет	Нет	Нет	
Имя файла с параметрами лицензирования	e9d59454-dd41-11e8-83dc-485ab6090f00	e9d5944d-dd41-11e8-83dc-485ab6090f00	-digisign		Файл;Открытие;Все файлы (*.*)|*.*	Нет	Да	Нет	Нет	Нет	Нет	
Создание файла шаблонов конфигураций	e9d59455-dd41-11e8-83dc-485ab6090f00	e9d59445-dd41-11e8-83dc-485ab6090f00	/CreateTemplateListFile		Файл;Сохранение;Файл списка шаблонов конфигураций (*.lst)|*.lst	Нет	Да	Нет	Нет	Нет	Нет	
Путь для поиска файлов шаблонов конфигураций	e9d59457-dd41-11e8-83dc-485ab6090f00	e9d59455-dd41-11e8-83dc-485ab6090f00	-TemplatesSourcePath		Каталог	Нет	Да	Нет	Нет	Нет	Нет	
Работа с хранилищем конфигурации	e9d59458-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Каталог хранилища	e9d59459-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryF		Каталог	Нет	Да	Нет	Нет	Нет	Нет	
Имя пользователя хранилища	e9d5945a-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryN		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Пароль пользователя хранилища	e9d5945b-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryP		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Создание хранилища конфигурации	e9d5945c-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryCreate			Нет	Нет	Нет	Нет	Нет	Нет	
Включить возможность изменения конфигурации	e9d5945d-dd41-11e8-83dc-485ab6090f00	e9d5945c-dd41-11e8-83dc-485ab6090f00	-AllowConfigurationChanges			Нет	Нет	Нет	Нет	Нет	Нет	
Правило поддержки объектов, изменение которых разрешено	e9d5945e-dd41-11e8-83dc-485ab6090f00	e9d5945c-dd41-11e8-83dc-485ab6090f00	-ChangesAllowedRule		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Правило поддержки объектов, изменение которых не рекомендуется	e9d59462-dd41-11e8-83dc-485ab6090f00	e9d5945c-dd41-11e8-83dc-485ab6090f00	-ChangesNotRecommendedRule		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Не подключаться к созданному хранилищу	e9d59466-dd41-11e8-83dc-485ab6090f00	e9d5945c-dd41-11e8-83dc-485ab6090f00	-NoBind			Нет	Нет	Нет	Нет	Нет	Нет	
Создание пользователя хранилища	e9d59467-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryAddUser -User		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Пароль пользователя хранилища	e9d59468-dd41-11e8-83dc-485ab6090f00	e9d59467-dd41-11e8-83dc-485ab6090f00	-Pwd		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Права пользователя хранилища	e9d59469-dd41-11e8-83dc-485ab6090f00	e9d59467-dd41-11e8-83dc-485ab6090f00	-Rights		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Восстановление удаленного пользователя	e9d5946e-dd41-11e8-83dc-485ab6090f00	e9d59467-dd41-11e8-83dc-485ab6090f00	-RestoreDeletedUser			Нет	Нет	Нет	Нет	Нет	Нет	
Подключение к хранилищу	e9d5946f-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryBindCfg			Нет	Нет	Нет	Нет	Нет	Нет	
Подключаться даже, если пользователь уже подключен к хранилищу	e9d59470-dd41-11e8-83dc-485ab6090f00	e9d5946f-dd41-11e8-83dc-485ab6090f00	-forceBindAlreadyBindedUser			Нет	Нет	Нет	Нет	Нет	Нет	
Конфигурация будет заменена конфигурацией из хранилища	e9d59471-dd41-11e8-83dc-485ab6090f00	e9d5946f-dd41-11e8-83dc-485ab6090f00	-forceReplaceCfg			Нет	Нет	Нет	Нет	Нет	Нет	
Отключение от хранилища	e9d59472-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryUnbindCfg			Нет	Нет	Нет	Нет	Нет	Нет	
